method,k1,b,mean_P@5,mean_R@5,MAR,MAP,mean_MRR,mean_nDCG
BM25 k1=0.3 b=0.7,0.3,0.7,0.26,0.265,0.265,0.209,0.6333333333333333,0.2993351549359092
BM25 k1=0.3 b=0.75,0.3,0.75,0.26,0.265,0.265,0.20400000000000001,0.6083333333333333,0.28680177571310544
BM25 k1=0.3 b=0.8,0.3,0.8,0.26,0.265,0.265,0.205,0.6083333333333333,0.28694579751895777
BM25 k1=0.3 b=0.85,0.3,0.85,0.26,0.265,0.265,0.205,0.6083333333333333,0.28694579751895777
BM25 k1=0.3 b=0.9,0.3,0.9,0.26,0.265,0.265,0.20833333333333334,0.6083333333333333,0.28794979781801555
BM25 k1=0.3 b=1.0,0.3,1.0,0.26,0.265,0.265,0.209,0.6083333333333333,0.28803359967177833
BM25 k1=0.4 b=0.7,0.4,0.7,0.25,0.2525,0.2525,0.199,0.6083333333333333,0.2732103065009034
BM25 k1=0.4 b=0.75,0.4,0.75,0.25,0.2525,0.2525,0.199,0.6083333333333333,0.2732103065009034
BM25 k1=0.4 b=0.8,0.4,0.8,0.25,0.2525,0.2525,0.2,0.6083333333333333,0.2733543283067557
BM25 k1=0.4 b=0.85,0.4,0.85,0.25,0.2525,0.2525,0.2,0.6083333333333333,0.2733543283067557
BM25 k1=0.4 b=0.9,0.4,0.9,0.26,0.265,0.265,0.20833333333333334,0.6083333333333333,0.28794979781801555
BM25 k1=0.4 b=1.0,0.4,1.0,0.25,0.2525,0.2525,0.20400000000000001,0.6083333333333333,0.2744421304595763
BM25 k1=0.5 b=0.7,0.5,0.7,0.25,0.2525,0.2525,0.199,0.6083333333333333,0.2732103065009034
BM25 k1=0.5 b=0.75,0.5,0.75,0.25,0.2525,0.2525,0.199,0.6083333333333333,0.2732103065009034
BM25 k1=0.5 b=0.8,0.5,0.8,0.25,0.2525,0.2525,0.2,0.6083333333333333,0.2733543283067557
BM25 k1=0.5 b=0.85,0.5,0.85,0.25,0.2525,0.2525,0.2,0.6083333333333333,0.2733543283067557
BM25 k1=0.5 b=0.9,0.5,0.9,0.25,0.2525,0.2525,0.2,0.6083333333333333,0.2733543283067557
BM25 k1=0.5 b=1.0,0.5,1.0,0.25,0.2525,0.2525,0.20400000000000001,0.6083333333333333,0.2744421304595763
BM25 k1=0.6 b=0.7,0.6,0.7,0.26,0.2625,0.2625,0.205,0.6083333333333333,0.2863475696192281
BM25 k1=0.6 b=0.75,0.6,0.75,0.26,0.2625,0.2625,0.205,0.6083333333333333,0.2863475696192281
BM25 k1=0.6 b=0.8,0.6,0.8,0.26,0.2625,0.2625,0.20600000000000002,0.6083333333333333,0.2864915914250804
BM25 k1=0.6 b=0.85,0.6,0.85,0.26,0.2625,0.2625,0.20600000000000002,0.6083333333333333,0.2864915914250804
BM25 k1=0.6 b=0.9,0.6,0.9,0.26,0.2625,0.2625,0.20600000000000002,0.6083333333333333,0.2864915914250804
BM25 k1=0.6 b=1.0,0.6,1.0,0.27,0.2725,0.2725,0.21350000000000002,0.6183333333333334,0.2905938796151724
BM25 k1=0.7 b=0.7,0.7,0.7,0.26,0.2625,0.2625,0.2,0.5833333333333333,0.28513466195250514
BM25 k1=0.7 b=0.75,0.7,0.75,0.26,0.2625,0.2625,0.2015,0.5833333333333333,0.2866228872796458
BM25 k1=0.7 b=0.8,0.7,0.8,0.26,0.2625,0.2625,0.20249999999999999,0.5833333333333333,0.2867669090854981
BM25 k1=0.7 b=0.85,0.7,0.85,0.26,0.2625,0.2625,0.209,0.6083333333333333,0.2880278240208385
BM25 k1=0.7 b=0.9,0.7,0.9,0.27,0.2725,0.2725,0.21349999999999997,0.6183333333333334,0.292133421087568
BM25 k1=0.7 b=1.0,0.7,1.0,0.27,0.2725,0.2725,0.22000000000000003,0.6183333333333334,0.2949143746825576
